omp_num_threads,graph,order,size,time,iterations,error,technique
"2","min-1DeadEnd","5","6","0.315","16","0","pagerankUniform"
"2","min-1DeadEnd","5","6","0.336","16","0","pagerankHybrid"
"4","min-1DeadEnd","5","6","0.557","16","0","pagerankUniform"
"4","min-1DeadEnd","5","6","0.42","16","0","pagerankHybrid"
"8","min-1DeadEnd","5","6","0.603","16","0","pagerankUniform"
"8","min-1DeadEnd","5","6","0.393","16","0","pagerankHybrid"
"16","min-1DeadEnd","5","6","1.057","16","0","pagerankUniform"
"16","min-1DeadEnd","5","6","0.621","16","0","pagerankHybrid"
"28","min-1DeadEnd","5","6","1.85","16","0","pagerankUniform"
"28","min-1DeadEnd","5","6","0.827","16","0","pagerankHybrid"
"32","min-1DeadEnd","5","6","1.815","16","0","pagerankUniform"
"32","min-1DeadEnd","5","6","0.856","16","0","pagerankHybrid"
"48","min-1DeadEnd","5","6","20.568","16","0","pagerankUniform"
"48","min-1DeadEnd","5","6","0.85","16","0","pagerankHybrid"
"2","min-2SCC","8","12","1.208","39","0","pagerankUniform"
"2","min-2SCC","8","12","0.635","39","0","pagerankHybrid"
"4","min-2SCC","8","12","1.114","39","0","pagerankUniform"
"4","min-2SCC","8","12","0.763","39","0","pagerankHybrid"
"8","min-2SCC","8","12","1.384","39","0","pagerankUniform"
"8","min-2SCC","8","12","0.869","39","0","pagerankHybrid"
"16","min-2SCC","8","12","1.965","39","0","pagerankUniform"
"16","min-2SCC","8","12","1.032","39","0","pagerankHybrid"
"28","min-2SCC","8","12","2.424","39","0","pagerankUniform"
"28","min-2SCC","8","12","1.792","39","0","pagerankHybrid"
"32","min-2SCC","8","12","2.557","39","0","pagerankUniform"
"32","min-2SCC","8","12","1.816","39","0","pagerankHybrid"
"48","min-2SCC","8","12","18.69","39","0","pagerankUniform"
"48","min-2SCC","8","12","2.109","39","0","pagerankHybrid"
"2","min-4SCC","21","35","1.135","44","0","pagerankUniform"
"2","min-4SCC","21","35","0.637","44","0","pagerankHybrid"
"4","min-4SCC","21","35","1.374","44","0","pagerankUniform"
"4","min-4SCC","21","35","0.843","44","0","pagerankHybrid"
"8","min-4SCC","21","35","1.157","44","0","pagerankUniform"
"8","min-4SCC","21","35","0.825","44","0","pagerankHybrid"
"16","min-4SCC","21","35","1.39","44","0","pagerankUniform"
